song_name,artist_name,primary_feeling
Equality,Tom MacDonald,Patriotic
Heal the World,Michael Jackson,Inspired
What's My Age Again?,blink-182,Nostalgic
Enchanted,Taylor Swift,Love
Follow You,Imagine Dragons,Connected
NO COMPETITION (feat. Asake),Davido,Amazing
Name,Goo Goo Dolls,Nostalgic 
I Want It That Way,Backstreet Boys,Sentimental
Linkin Park,Crawling,Rage
Ms. Jackson,Outkast,Euphoric
Peg,Steely Dan ,Nostalgic 
under the influence,christbrown,emotional
Kryptonite ,Three Doors Down,Energized
I will always love you ,Whitney Houston ,"The primary feeling of the song I Will Always Love You by Whitney Houston is deep love mixed with sadness and letting go. It expresses emotional farewell, gratitude, and enduring affection."
1965,Jessie Murph,Nostalgic
NA,NA,NA
Juicy ,Doja cat,Sexy 
Hold on to me,Lauren Daigle,Peace
House at Pooh Corner,Kenny Loggins,Nostalgic
Jungleland,Bruce Springsteen,Overpowering
Dollhouse,Melanie Martinez,I like the trapped feeling that it gives me.
carry on my wayward son,kansas,nostalga
Love me ,Lil wayne,The words
I can only imagine ,Mercy me,Peace
Don't ,Know,Noise
Thuggish Ruggish Bone,Bone Thugs,Takes me back to high school 90s
Never Say Goodbye,Bon jovi,happy
love me,justin bieber,motion
Us and them,Pink floyd,Powerful
Tacoma,Caitlyn Smith,Yearning
Blush,Razed In Black,Hype
American girl,Harry style,Happy
The Voice ,Celtics Women ,Joy
halo,beyounce,sad
happy,pharrell williams,alive and excited makes me want to dance
Arlington,Trace Adkins,Make me happy 
Shallow,Lady Gaga,melancholy
Aenema,Tool ,Shock and awe
Everything,Tye Tribbet,Full
daughter,pearl jam,makes me sad thinking about my dad
THE ONE,MARY J BLIGE,EMPOWERMENT
Your way’s better,Forrest Frank,Freedom
Lonely Boy,The Black Keys,Upbeat
Disconnected ,Avaitors ,Loneliness 
Kashmir,Led Zeppelin,It has always motivated me to be my best.
I’m not sure ,I’m not sure ,I’m not sure 
Win,Jay rock,Happy 
NA,NA,NA
Ride,King von,EXCITEMENT
Fast car,Luke combs,Happy
Blame it on Me,Morgan Wallen,Good vibes
To live and die in LA,2pac,"My city, my hometown"
love,wiskid,the beat
billie jean,mj,yylh
one love,bob marly,nice
NA,NA,NA
Mannish Boy,Muddy Waters ,Blues
Where the Wild Things Are,Luke Combs,Loyalty
Croetia,Karol G,"Like a longing, sexual energy and very happy "
Folded,Kehlani,Great
Wind beneath my wings,Bette milder,It makes feel inspired and motivated to be my best
Just the way you are ,Billy Joel,Nostalgia
Won’t back down,Johnny cash,Motivates me
Are we still good ,H.E.R,Soothing 
NA,NA,NA
Here Comes the Sun,The Beatles,Optimism
California love ,Tupac ,Just a chill vibe 
Butterflies ,Michael Jackson ,Happiness 
Naive melody ,Talking heads ,Comfy
I want to stroll over heaven with you,Alan Jackson,Peace and joy
Lifestyle,Quan,Good
mikel,joy,great
Pop,Laura pausini,Not sure
Goodbye,Celine dion,warmth
WAP,Cardi B,the goosebumps
Seasons in the Abyss ,Slayer,Energy 
Immigrant song,Led Zeppelin ,Excitement 
total eclipse of the heart,Bonnie Tyler,Nostalgia
Sensing ,Chris brown ,I love to get motivated and inspired 
I Lived,One Republic,excitement
Nothing else matters ,Mettalica,Happy 
NA,NA,NA
