song_name,artist_name,primary_feeling
Pieces,Muscadine Bloodline,Peace
Under Pressure (feat. David Bowie),Queen,Energized
Drops of Jupiter (Tell Me),Train,Elation
Sweet Caroline,Neil Diamond,Joy
Stay (feat. Mikky Ekko),Rihanna,Love
Wish You Were Here,Pink Floyd,Nostalgia
Elizabeth Taylor,Taylor Swift,Happy
I Lived,OneRepublic,Excited
Lady,Styx,Love
That's Who I Praise,Brandon Lake,Joy
Love Me,Justin Bieber,Motion
Press,Cardi B,Amazing
NO COMPETITION (feat. Asake),Davido,Amazing
Die With A Smile,Lady Gaga & Bruno Mars,Happy
Everyday Yours,Drake White,Happy
Where the Wild Things Are,Luke Combs,Loyalty
1965,Jessie Murph,Nostalgia
Just the Way You Are,Billy Joel,Happy
Hold the Line,Toto,Melancholy
At Last,Etta James,Love
Love Come,Sarah McLachlan,Calm
Billie Jean,Michael Jackson,Happy
Never Say Goodbye,Bon Jovi,Happy
"Take Me Home, Country Roads",John Denver,Nostalgia
Halo,Beyonc�,Sad
Gratitude,Brandon Lake,Grateful
Paradise City,Guns N' Roses,Nostalgia
The One (feat. Drake),Mary J. Blige,Empowered
Hold On To Me,Lauren Daigle,Peace
Lifestyle (feat. Young Thug & Rich Homie Quan),Rich Gang,Content
Ships In The Night,Mat Kearney,Resonance
Doesn't Remind Me,Audioslave,Calm
WAP (feat. Megan Thee Stallion),Cardi B,Chills
Enchanted,Taylor Swift,Love
Naked in Manhattan,Chappell Roan,Free
Cmonnn (Hit It One Time) (feat. Lay Bankz),5Star,Confident
Supernova (feat. Tezatalks),Ryan Caraveo,Belonging
Aperture,Harry Styles,Bold
Calm Down,Rema,Calm
Ain't Wastin' Time No More,The Allman Brothers Band,Happy
Cannonballers,Colony House,Happy
"Everything Part I, Part II",Tye Tribbett & G.A.,Fulfilled
Yes I'm A Mess,AJR,Validation
Linkin Park,Crawling,Rage
Gethsemane,Sleep Token,Bitter
Folded,Kehlani,Content
Blush,Razed in Black,Amplified
Billie Jean,Michael Jackson,Joy
Accidentally in Love,Counting Crows,Nostalgia
God's Plan,Drake,Inspired
Goodbye,Celine dion,warmth
Your way’s better,Forrest Frank,Freedom
An empty street,Celine deon,it creates a state of calmness in me
under the influence,christbrown,emotional
lemonade,Beyonce,it makes me feel confident
