song_name,artist_name,primary_feeling,youtube_music_url,core_affect_quadrant,song_download_status,wav_filename,bpm,danceability,onset_rate,average_loudness,dynamic_complexity,spectral_energy,chords_changes_rate,pitch_salience,spectral_complexity,spectral_centroid,barkbands_flatness_db,zerocrossingrate
Nothing Else Matters,Metallica,Happy,https://music.youtube.com/watch?v=pTYIf2pkxzQ,Quadrant 1,Success,nothingelsematters.wav,142.5590668,1.210696578,2.047596455,0.477190375,5.723120689,0.023347562,0.036908742,0.527988315,15.03398418,1231.788452,0.147657603,0.065210059
Thunderstruck,AC/DC,Upbeat,https://music.youtube.com/watch?v=lhg9bYNLvOg,Quadrant 1,Success,thunderstruck.wav,133.8108673,1.236858487,3.748764277,0.896143258,3.66119504,0.022445513,0.048668358,0.580846012,24.8346405,2046.866455,0.103367873,0.0852625
Beat It,Michael Jackson,Independent,https://music.youtube.com/watch?v=kOn-HdEg6AQ,Quadrant 1,Success,beatit.wav,138.6587982,1.402649403,3.714956284,0.891028345,5.178120613,0.025085518,0.069529288,0.577435076,17.37430382,1445.752686,0.114903368,0.08527194
Enchanted,Taylor Swift,Comforted,https://music.youtube.com/watch?v=fvg01l43XBc,Quadrant 4,Success,enchanted.wav,163.9039917,1.029282212,2.932990313,0.89672488,3.876791,0.02000396,0.038892552,0.50985074,19.43377876,1716.667847,0.141548976,0.088196166
Opus,Eric Prydz,Joy,https://music.youtube.com/watch?v=gt1pKrwxAJU,Quadrant 1,Success,opus.wav,125.9130325,1.759281158,4.41593504,0.358961225,6.1081357,0.033714354,0.039046481,0.486722708,16.0290947,1256.820557,0.158786416,0.054269269
It's My Life,Bon Jovi,Empowered,https://music.youtube.com/watch?v=bY3vXr7fm8k,Quadrant 1,Success,it'smylife.wav,119.9964676,1.147614837,2.975318909,0.967298269,1.819995761,0.030158008,0.064309344,0.595562756,31.76504707,1920.442993,0.090567365,0.083703123
The End,The Doors,Nostalgic,https://music.youtube.com/watch?v=BXqPNlng6uI,Quadrant 4,Success,theend.wav,105.6448898,0.959297955,2.907298803,0.13520056,5.882586002,0.017618686,0.043900184,0.504902363,11.58417511,908.1490479,0.192063361,0.039012067
Royals,Lorde,Happy,https://music.youtube.com/watch?v=cVWOEx4Xdhs,Quadrant 1,Success,royals.wav,84.97424316,1.180886149,4.016447067,0.904400826,4.312233448,0.073537715,0.072247989,0.376458138,9.546197891,1007.146729,0.268971652,0.035581596
Ride,King Von,Excited,https://music.youtube.com/watch?v=FLQ7djBxn_c,Quadrant 1,Success,ride.wav,162.2097015,1.326074481,4.438677311,0.781069696,4.054982662,0.048326045,0.047603521,0.462746471,15.04125214,1195.351807,0.197390839,0.048162621
When I'm Gone,3 Doors Down,Bittersweet,https://music.youtube.com/watch?v=Gt4xZnBBOHQ,Quadrant 3,Success,wheni'mgone.wav,147.9881287,0.984514296,3.095649958,0.914217353,3.831621647,0.034382112,0.055813123,0.496926188,23.7413063,1302.758911,0.149689853,0.049406931
�nema,Tool,Awestruck,https://music.youtube.com/watch?v=tqjOrkMHUkk,Quadrant 1,Success,ænema.wav,120.8639679,1.264331698,4.069720268,0.935562313,3.426125526,0.032412481,0.075939059,0.504604161,20.95632935,1453.068237,0.182283223,0.047455445
Three Little Birds,Bob Marley & The Wailers,Happy,https://music.youtube.com/watch?v=MUNNRAdizz0,Quadrant 1,Success,threelittlebirds.wav,148.0165253,1.20743084,3.777462959,0.879143178,5.963916302,0.030007692,0.023435488,0.441174537,11.22627163,1387.853027,0.176262602,0.077529505
Lay It On The Line,Triumph,Awesome,https://music.youtube.com/watch?v=E_HQnms4AEs,Quadrant 1,Success,layitontheline.wav,90.16667175,1.147798657,3.201706171,0.87878257,5.509047031,0.022363907,0.069701552,0.551041842,20.03126526,1981.848511,0.126022428,0.0795196
Lonely Boy,The Black Keys,Upbeat,https://music.youtube.com/watch?v=9DYPfItb2fk,Quadrant 1,Success,lonelyboy.wav,165.7502289,1.153749347,3.825944901,0.935005844,2.74437809,0.037204534,0.059683606,0.550404131,26.05298424,1514.108398,0.127210498,0.05483951
Butterflies,Michael Jackson,Happy,https://music.youtube.com/watch?v=HksLQx6SbMg,Quadrant 1,Success,butterflies.wav,89.98545074,1.271983385,3.273949385,0.790648699,5.281873703,0.020187082,0.067686677,0.516459227,13.33008957,1173.552368,0.164619803,0.05749727
Lifestyle,Rich Gang,Good,https://music.youtube.com/watch?v=atKSvW8DVos,Quadrant 1,Success,lifestyle.wav,89.00631714,1.006511331,4.652921677,0.791906059,4.7017169,0.044390585,0.084696159,0.406586558,12.64448643,1833.772705,0.206616715,0.068750352
