song_name,artist_name,primary_feeling
Shake It Off,Taylor Swift,Relaxed
Luther,Kendrick Lamar,Serene
Worship,Asake,Blessed
Firework,Katy Perry,Happy
Heroes,David Bowie,Joy
Love,Wizkid,Energized
A Bar Song ,Shaboozey,Carefree
It's Too Late,Carole King,Resignation
Equality,Tom MacDonald,Patriotism
Three Little Birds ,Bob Marley ,Hope
Hurt,Nine Inch Nails,Joy
Heavy Metal,Sammy Hagar,Happy
Thuggish Ruggish Bone,Bone Thugs,Nostalgia
More Than A Feeling,Boston,Joy
Friends in Low Places,Garth Brooks,Resilience
Livin' on a Prayer ,Bon Jovi,Memories
WIN,Jay Rock,Happy
Still I Rise,Yolanda Adams ,Worship
Immigrant Song,Led Zeppelin ,Excitement 
Dust To Dust ,The Warning ,Happy
The Call of Ktulu,Metallica ,Strength
Wish You Were Here,Pink Floyd,Nostalgia
Little Guitars,Van Halen,Happy
Seasons In The Abyss ,Slayer,Energized 
Thriller,Michael Jackson,Energized
Welcome To The Jungle,Guns N' Roses,Energized
Arlington,Trace Adkins,Happy
Kashmir,Led Zeppelin,Driven
Mr. Krinkle,Primus,Excitement
Beat It,Michael Jackson,Free-Spirited
This Hard Land,Bruce Springsteen,Youthful
Something About You,Level 42,Joy
Wonderwall,Oasis,Youthful
Comfortably Numb,Pink Floyd ,Relaxation 
Turn the lights back on,Billy joel,Makes me hopeful
Operator,Jim Croce,just happy
Simple Man ,Lynard Skynard ,How good the simple life is.
California love ,Tupac ,Just a chill vibe 
Jungleland,Bruce Springsteen,Overpowering
Nothing else matters ,Mettalica,Happy 
Naive melody ,Talking heads ,Comfy
Aloha ke Akua,Nahko and Medicine for the People,Hopeful
Here Comes the Sun,The Beatles,Optimism
Lay it on the line,Triumph,Awesome
Aenema,Tool ,Shock and awe
Royals,Lorde,Happy
Shallow,Lady Gaga,melancholy
Don’t You Give Up On Me,Lissie,This is a very good song with great musical tune supporting the lyrics.
If your gone ,Matchbox Twenty,Happiest 
Subdivisions,RUSH,Memories of growing up in the suburbs
total eclipse of the heart,Bonnie Tyler,Nostalgia
We are the world ,Michael Jackson ,Tenderness
I can only imagine ,Mercy me,Peace
Just the way you are ,Billy Joel,Nostalgia
My Sacrifice,Creed,It gets me pumped up and want to make me rock out. 
Peg,Steely Dan ,Nostalgic 
