Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,employment_status,collector_type_source,What is your favorite song? Please enter (1) the song name and (2) the corresponding artist name. Please use correct spelling.,,What is the primary feeling that your favorite song creates within you? Please enter only one feeling and use correct spelling.,Gender,Age,Major US Region,Device,Household Income
,,,,,,,,,,,Song Name,Artist Name,Open-Ended Response,,,,,
1.15E+11,439912229,6/1/2026 21:19,6/1/2026 21:19,,,,,f9a011e5c44bf7842313ff0b20,employed_full_time,smc,the the the,i don’t know,the only way i could,female,18_to_29,south_atlantic,ios_mobile,50000_to_74999
1.15E+11,439912229,6/1/2026 19:40,6/1/2026 19:43,,,,,d8e70379b1d8958ad1f1dd737e,employed_full_time,smc,shake it off,Tailor Swift,relaxed,female,30_to_44,south_atlantic,android_mobile,150000_to_174999
1.15E+11,439912229,6/1/2026 19:40,6/1/2026 19:42,,,,,5e4636626e400fe240ff4094a0,employed_full_time,smc,Luther,Kendrick Lamar,Feels Good,female,30_to_44,south_atlantic,android_mobile,125000_to_149999
1.15E+11,439912229,6/1/2026 19:40,6/1/2026 19:41,,,,,b8aa044e8fd699a3b6b640db87,employed_full_time,smc,na,na,na,female,18_to_29,south_atlantic,android_mobile,75000_to_99999
1.15E+11,439912229,6/1/2026 18:19,6/1/2026 18:20,,,,,a7510321dd8b2c05a5c2445421,employed_full_time,smc,worship,Asake,Blessed,female,45_to_60,west_north_central,android_mobile,150000_to_174999
1.15E+11,439912229,6/1/2026 18:19,6/1/2026 18:19,,,,,8d7c5f62fbd1f68aebd5242314,employed_full_time,smc,Firework,Katy Perry,Happy,female,45_to_60,south_atlantic,ios_mobile,150000_to_174999
1.15E+11,439912229,6/1/2026 18:18,6/1/2026 18:19,,,,,2bba3446143c6c424edb594214,employed_full_time,smc,n/a,n/a,n/a,female,45_to_60,pacific,android_mobile,175000_to_199999
1.15E+11,439912229,6/1/2026 18:02,6/1/2026 18:03,,,,,34fd3691a5030de10be4e19307,employed_full_time,smc,Heroes,David Bowie,Joy,female,45_to_60,pacific,ios_mobile,100000_to_124999
1.15E+11,439912229,6/1/2026 18:02,6/1/2026 18:03,,,,,2812533409c56a48b18f9dffc2,employed_full_time,smc,mikel,joy,great,female,45_to_60,middle_atlantic,android_mobile,150000_to_174999
1.15E+11,439912229,6/1/2026 17:46,6/1/2026 17:47,,,,,a149275ee593c0fc95c5bba7b2,employed_full_time,smc,N/A,N/A,N/A,female,45_to_60,mountain,android_mobile,175000_to_199999
1.15E+11,439912229,6/1/2026 17:46,6/1/2026 17:46,,,,,101fbf781382811fabdf2accdc,employed_full_time,smc,love,wiskid,the beat,female,45_to_60,south_atlantic,android_mobile,150000_to_174999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:44,,,,,d7e3b54cf3675d924c1f5a1187,employed_full_time,smc,A bar song ,Shaboozey,Carefree,male,45_to_60,east_north_central,ios_mobile,200000_and_up
1.15E+11,439912229,6/1/2026 17:36,6/1/2026 17:42,,,,,a9530277cf1badeee4dcccd930,employed_full_time,smc,It's Too Late,Carole King,I have felt that during a relationship I had,male,60_above,pacific,pc_windows,125000_to_149999
1.15E+11,439912229,6/1/2026 17:38,6/1/2026 17:39,,,,,acbaedfd0673699fc433242d97,employed_full_time,smc,Equality,Tom Macdonald,Patriotism,male,45_to_60,west_south_central,android_mobile,100000_to_124999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:39,,,,,c25338c660a894bbd21c74f764,employed_full_time,smc,3 little bird ,Bob Marley ,Hope ,male,45_to_60,south_atlantic,android_mobile,50000_to_74999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:39,,,,,4d6dd122d38968ca70cb9790bf,employed_full_time,smc,Hurt,Nine inch nails,Joy,male,45_to_60,south_atlantic,android_mobile,200000_and_up
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:38,,,,,665bdd366ed2b1add8404b3846,employed_full_time,smc,Heavy Metal,Sammy Hagar,Happy,male,45_to_60,east_south_central,ios_mobile,25000_to_49999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:38,,,,,743b064a93a936e8862367fa2c,employed_full_time,smc,Thuggish Ruggish Bone,Bone Thugs,Takes me back to high school 90s,male,45_to_60,pacific,android_mobile,75000_to_99999
1.15E+11,439912229,6/1/2026 17:36,6/1/2026 17:38,,,,,81926867bcf5b5cb050d62b06b,employed_full_time,smc,More Than A Feeling,Boston,It makes me feel joy.,male,60_above,west_south_central,pc_windows,150000_to_174999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:38,,,,,e48a08e8bea788c252eff55aaf,employed_full_time,smc,Friends in low places,Garth Brooks,I can relate to this song,male,45_to_60,mountain,pc_windows,75000_to_99999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:38,,,,,73a1b5e9251788587d30d3cb61,employed_full_time,smc,Livin on a Prayer ,Bon Jovi,Memories,male,45_to_60,south_atlantic,ios_mobile,50000_to_74999
1.15E+11,439912229,6/1/2026 17:38,6/1/2026 17:38,,,,,6f349290de5daaf6384b6a1846,employed_full_time,smc,good,better,best,female,45_to_60,pacific,android_mobile,150000_to_174999
1.15E+11,439912229,6/1/2026 17:35,6/1/2026 17:38,,,,,18696fa5a26d1c89c23d0ffd5d,employed_full_time,smc,Win,Jay rock,Happy ,male,45_to_60,mountain,android_mobile,50000_to_74999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:37,,,,,345623e4b4f396604910446e5d,employed_full_time,smc,Still I rise,Yolanda adams ,Worship music ,male,60_above,pacific,android_mobile,0_to_9999
1.15E+11,439912229,6/1/2026 17:35,6/1/2026 17:37,,,,,1ae39ac495871cd7f00bd500fc,employed_full_time,smc,Immigrant song,Led Zeppelin ,Excitement ,male,60_above,middle_atlantic,android_mobile,100000_to_124999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:37,,,,,12500e74b6e696e66ae34de4bd,employed_full_time,smc,Dust to dust ,The warning ,Happy and joy ,male,45_to_60,west_north_central,android_mobile,50000_to_74999
1.15E+11,439912229,6/1/2026 17:36,6/1/2026 17:37,,,,,4e9ea2237861ed9d90a5bf431d,employed_full_time,smc,The Call of Ktulu,Metallica ,Strength,male,45_to_60,east_north_central,ios_mobile,150000_to_174999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:37,,,,,c84f57b239886b597f8a32172c,employed_full_time,smc,Wish you were here,Pink Floyd,Nostalgia ,male,45_to_60,west_south_central,ios_mobile,125000_to_149999
1.15E+11,439912229,6/1/2026 17:36,6/1/2026 17:37,,,,,8fc3d1b3004dbca7378348997a,employed_full_time,smc,Little guitars ,Van Halen,Makes me happy ,male,45_to_60,pacific,ios_mobile,75000_to_99999
1.15E+11,439912229,6/1/2026 17:36,6/1/2026 17:37,,,,,f83b638b08020244a11609e16c,employed_full_time,smc,Seasons in the Abyss ,Slayer,Energy ,male,60_above,west_north_central,android_mobile,50000_to_74999
1.15E+11,439912229,6/1/2026 17:37,6/1/2026 17:37,,,,,baac4cf2d303a8f1def8437a58,employed_full_time,smc,Thriller,Michael Jackson ,Want to dance,male,45_to_60,east_north_central,android_mobile,50000_to_74999
1.15E+11,439912229,6/1/2026 17:36,6/1/2026 17:37,,,,,f398adcca94810fd9309207c02,employed_full_time,smc,Welcome to the jungle ,Guns & Roses ,Energy ,male,45_to_60,south_atlantic,ios_mobile,100000_to_124999
